"","year","annual_count","major_event_bleaching","major_event_cylcone","major_event_crown_of_thorns"
"1",2006,15,0,0,1
"2",2007,14,0,0,1
"3",2008,14,0,0,1
"4",2009,34,0,0,1
"5",2010,56,0,1,0
"6",2011,50,0,0,0
"7",2012,127,0,0,0
"8",2013,211,0,0,0
"9",2014,185,0,0,0
"10",2015,100,0,0,0
"11",2016,146,1,0,0
"12",2017,134,0,0,0
"13",2018,75,0,0,0
"14",2019,58,1,0,0
"15",2020,31,0,0,0
"16",2021,33,0,0,0
"17",2022,39,0,0,0
