"","year","annual_count","major_event_bleaching","major_event_cylcone","major_event_crown_of_thorns"
"1",2006,43,0,0,1
"2",2007,11,0,0,1
"3",2008,34,0,0,1
"4",2009,157,0,0,1
"5",2010,388,0,1,0
"6",2011,314,0,0,0
"7",2012,251,0,0,0
"8",2013,397,0,0,0
"9",2014,552,0,0,0
"10",2015,141,0,0,0
"11",2016,363,1,0,0
"12",2017,225,0,0,0
"13",2018,230,0,0,0
"14",2019,187,1,0,0
"15",2020,75,0,0,0
"16",2021,178,0,0,0
"17",2022,190,0,0,0
