"","year","annual_count","major_event_bleaching","major_event_cylcone","major_event_crown_of_thorns"
"1",2006,17,0,0,1
"2",2007,20,0,0,1
"3",2008,43,0,0,1
"4",2009,112,0,0,1
"5",2010,163,0,1,0
"6",2011,126,0,0,0
"7",2012,256,0,0,0
"8",2013,364,0,0,0
"9",2014,297,0,0,0
"10",2015,204,0,0,0
"11",2016,150,1,0,0
"12",2017,269,0,0,0
"13",2018,119,0,0,0
"14",2019,118,1,0,0
"15",2020,69,0,0,0
"16",2021,155,0,0,0
"17",2022,138,0,0,0
