"","year","annual_count","major_event_bleaching","major_event_cylcone","major_event_crown_of_thorns"
"1",2006,25,0,0,1
"2",2007,3,0,0,1
"3",2008,17,0,0,1
"4",2009,35,0,0,1
"5",2010,38,0,1,0
"6",2011,33,0,0,0
"7",2012,103,0,0,0
"8",2013,106,0,0,0
"9",2014,213,0,0,0
"10",2015,180,0,0,0
"11",2016,159,1,0,0
"12",2017,57,0,0,0
"13",2018,28,0,0,0
"14",2019,57,1,0,0
"15",2020,28,0,0,0
"16",2021,32,0,0,0
"17",2022,47,0,0,0
